epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.827,1.80215,4.15924,1.88617,0.24917,0.41649,0.25682,0.11667,1.75309,2.70235,1.87994,0.00041675,0.00041675,0.00041675
2,957.189,1.78738,2.78382,1.83245,0.29298,0.3964,0.2345,0.1118,1.88108,2.97092,1.93326,0.000766003,0.000766003,0.000766003
3,1432.18,1.93666,2.77157,1.88795,0.16005,0.22856,0.0979,0.03526,2.23512,4.89311,2.57761,0.00102944,0.00102944,0.00102944
4,1905.07,1.85762,2.8251,1.96445,0.14113,0.43784,0.15403,0.06196,2.28099,15.747,2.75279,0.0011719,0.0011719,0.0011719
5,2377.85,1.78634,2.44297,1.89284,0.115,0.5555,0.15067,0.05189,2.18376,11.2599,2.41593,0.00100687,0.00100687,0.00100687
6,2844.29,1.63664,2.23621,1.75149,0.29537,0.23514,0.21195,0.08259,2.14086,2.5626,2.24725,0.000841835,0.000841835,0.000841835
7,3308.12,1.73687,2.1335,1.81052,0.34767,0.34892,0.25095,0.11068,1.82302,3.07252,1.97156,0.000676802,0.000676802,0.000676802
8,3768.81,1.60883,2.07596,1.78287,0.3466,0.43,0.32254,0.13791,1.79461,2.20762,1.91972,0.000511769,0.000511769,0.000511769
9,4235.63,1.58419,1.9253,1.70042,0.33889,0.52059,0.33943,0.15506,1.82144,1.97694,1.9375,0.000346736,0.000346736,0.000346736
10,4700.42,1.47985,1.79475,1.60043,0.39605,0.47824,0.37735,0.17992,1.77868,2.01022,1.8634,0.000181703,0.000181703,0.000181703
